row,"ground truth ( divided by , each item in ?�??�?)",group,random,semantic_sim,seperate
What body of water are the Canary Islands in ?,"""Atlantic Ocean""",The Canary Islands are in the Atlantic Ocean.,The Canary Islands are located in the Atlantic Ocean.,The Canary Islands are in the Atlantic Ocean.,The Canary Islands are in the Atlantic Ocean.
What breed of hunting dog did the Beverly Hillbillies own ?,"""Bloodhound""",The Beverly Hillbillies owned a Bloodhound breed of hunting dog.,The Beverly Hillbillies owned a Bloodhound breed of hunting dog.,The Beverly Hillbillies owned a Bloodhound.,The Beverly Hillbillies owned a Bloodhound named Duke.
What causes gray hair ?,"""lack"" | ""loss"", ""melanin""","Gray hair is caused by the loss of melanin, which is the pigment that gives hair its color. As people age, their bodies produce less melanin, causing hair to turn gray or white. Genetic factors also play a significant role in when and how quickly this process occurs.:","Gray hair is caused by the reduction of pigment - melanin, which gives hair its color. The decrease in melanin production is a natural part of aging process which is influenced by genetics. Stress and certain health issues can also accelerate this process.","Gray hair is caused by a reduction of pigment in hair, which happens naturally as people age. Stress and genetics can also contribute to the graying process.","Gray hair occurs when melanin production decreases or stops in the hair follicles, causing the hair to lose its color. This is usually associated with the aging process. Other factors such as genetics, stress, vitamin deficiencies, or certain health conditions can also contribute to graying hair."
"What chain store is headquartered in Bentonville , Arkansas ?","""Walmart""","The chain store that is headquartered in Bentonville, Arkansas is Walmart.","The chain store headquartered in Bentonville, Arkansas is Walmart.","The chain store that is headquartered in Bentonville, Arkansas is Walmart.","Walmart is headquartered in Bentonville, Arkansas."
What city 's newspaper is called `` The Enquirer '' ?,"""Cincinnati""","The city whose newspaper is called ""The Enquirer"" is Cincinnati, Ohio.","The city whose newspaper is called ""The Enquirer"" is Cincinnati.","The city whose newspaper is called ""The Enquirer"" is Cincinnati.",Cincinnati
What city 's newspaper is called `` The Star '' ?,"""Toronto""","There are many cities with a newspaper called ""The Star"", some of which include Toronto and Kansas City.","The city whose newspaper is called ""The Star"" is Toronto.","The city whose newspaper is called ""The Star"" is Toronto.","Several cities have newspapers called ""The Star"" including:
1. Toronto, Canada - The Toronto Star
2. Johannesburg, South Africa - The Star
3. Sheffield, England - The Star
4. Kansas City, USA - The Kansas City Star
5. Indianapolis, USA - The Indianapolis Star
6. Malaysia (nationwide English paper) - The Star
And there may be more, it's fairly common name for a newspaper."
What city had a world fair in 1900 ?,"""Paris""",The city that had a world fair in 1900 is Paris.,The city that had a world fair in 1900 was Paris.,The city that had a world fair in 1900 was Paris.,Paris
What city has the zip code of 35824 ?,"""Huntsville"", ""Alabama""","The city with the zip code of 35824 is Huntsville, Alabama.","The city that has the zip code of 35824 is Huntsville, Alabama.","The city with the zip code of 35824 is Huntsville, Alabama. ","The city with the zip code 35824 is Huntsville, Alabama."
What city is also known as `` The Gateway to the West '' ?,"""St. Louis""","The city also known as ""The Gateway to the West"" is St. Louis.","The city also known as ""The Gateway to the West"" is St. Louis, Missouri.","The city also known as ""The Gateway to the West"" is St. Louis.","St. Louis, Missouri"
What color are crickets ?,"""brown"" | ""black""",Crickets are usually a brown or green color.,Crickets are generally brown or black in color.,Crickets are generally a brown or black color.,Crickets are typically brown or black in color.
What color does litmus paper turn when it comes into contact with a strong acid ?,"""red""",Litmus paper turns red when it comes into contact with a strong acid.,Litmus paper turns red when it comes into contact with a strong acid. ,Litmus paper turns red when it comes into contact with a strong acid.,Litmus paper turns red when it comes into contact with a strong acid.
What color is a giraffe 's tongue ?,"""blue"" | ""dark blue""",A giraffe's tongue is typically blue or black in color.,A giraffe's tongue is purplish-black in color.,A giraffe's tongue is blue-black or purple.,A giraffe's tongue is blue or black.
What color is a poison arrow frog ?,"""bright"", ""varied"" | ""different"" | ""variations"" | ""vary""","A poison arrow frog is usually brightly colored, often displaying variations of red, yellow, green, blue or black depending on the species.","The color of a poison arrow frog can vary depending on the species, the most vibrant ones being bright hues of red, yellow, green, blue, or black.","Poison arrow frogs can come in many colors, including bright blue, yellow, red, green, and black. The exact color can vary greatly depending on the specific species.","Poison arrow frogs can be a variety of bright colors, including blue, green, yellow, red, black, or any combination of these colors. The brilliance of their coloration is directly linked to the toxicity of the frog."
What color is indigo ?,"""blue"" | ""purple""","Indigo is a rich color that is a shade of blue, sometimes with a hint of purple.","The color indigo is a deep, rich shade of blue.",Indigo is a deep rich color close to the blue shade on the color wheel.,"Indigo is a deep, rich color that sits between blue and violet on the color spectrum."
What color is yak milk ?,"""pinkish"" | ""pink""",Yak milk is a creamy white color.,Yak milk is pink in color.,Yak milk is a creamy white color.,Yak milk is pink.
What colors need to be mixed to get the color pink ?,"“red”, “white”",The color pink can be achieved by mixing red and white.,The color pink can be made by mixing red and white.,"To get the color pink, you need to mix white and red.",Red and white need to be mixed to get the color pink.
What continent is Argentina on ?,"""South America""",Argentina is located on the South American continent.,Argentina is on the continent of South America.,Argentina is located on the continent of South America.,Argentina is on the continent of South America.
What continent is Egypt on ?,"""Africa""",Egypt is on the continent of Africa.,Egypt is on the continent of Africa.,Egypt is on the continent of Africa.,Egypt is on the continent of Africa.
What country did Ponce de Leon come from ?,"""Spain""",Ponce de Leon came from Spain.,Ponce de Leon was from Spain.,Ponce de Leon came from Spain. He was a Spanish explorer and conquistador.,Ponce de Leon came from Spain.
"What county is Modesto , California in ?","""Stanislaus""","Modesto, California is in Stanislaus County.","Modesto, California is in Stanislaus County.","Modesto, California is in Stanislaus County.","Modesto, California is in Stanislaus County."
"What county is Phoenix , AZ in ?","""Maricopa""","Phoenix, AZ, is in Maricopa County.","Phoenix, AZ is in Maricopa County.","Phoenix, AZ is in Maricopa County.","Phoenix, AZ is in Maricopa County."
What currency do they use in Brazil ?,"""Brazilian Real""",The currency they use in Brazil is the Brazilian Real.,The currency used in Brazil is the Brazilian Real.,The currency used in Brazil is the Brazilian Real.,They use the Brazilian Real in Brazil.
What currency does Argentina use ?,"""Argentine Pesol""",The currency Argentina uses is the Argentine Pesol.,Argentina uses the Argentine Pesol as its currency.,Argentina uses the Argentine Peso as its currency.,Argentina uses the Argentine Peso.
What currency does Luxembourg use ?,"""Euro""",The currency Luxembourg uses is the Euro.,Luxembourg uses the currency Euro (???).,Luxembourg uses the Euro as its currency.,Luxembourg uses the Euro (???) as its currency.
What currency is used in Algeria ?,"""Algerian Dinar""",The currency used in Algeria is the Algerian Dinar.,The currency used in Algeria is the Algerian Dinar.,The currency used in Algeria is the Algerian Dinar.,The currency used in Algeria is the Algerian Dinar.
What date did Neil Armstrong land on the moon ?,"""1969"", ""July 20""","Neil Armstrong landed on the moon on July 20, 1969.","Neil Armstrong landed on the moon on July 20, 1969.","Neil Armstrong landed on the moon on July 20, 1969.","Neil Armstrong landed on the moon on July 20, 1969."
What date was Dwight D. Eisenhower born ?,"""October 14"", ""1890""","Dwight D. Eisenhower was born on October 14, 1890.","Dwight D. Eisenhower was born on October 14, 1890.","Dwight D. Eisenhower was born on October 14, 1890.","Dwight D. Eisenhower was born on October 14, 1890."
What day and month did John Lennon die ?,"""December 8"", ""1980""",John Lennon died on 8th December 1980. ,"John Lennon died on December 8, 1980.","John Lennon died on December 8, 1980.","John Lennon died on December 8, 1980."
What did Edward Binney and Howard Smith invent in 1903 ?,"""Crayola crayons""",Edward Binney and Howard Smith invented the Crayola crayons in 1903.,"In 1903, Edward Binney and Howard Smith invented Crayola crayons.",Edward Binney and Howard Smith invented the Crayola brand of crayons in 1903.,Edward Binney and Howard Smith invented Crayola crayons in 1903.
What did Jesse Jackson organize ?,"""Rainbow PUSH"", ""coalition""",Jesse Jackson organized the Rainbow PUSH Coalition.,"Jesse Jackson organized several civil rights movements and also founded the organization, Rainbow PUSH.",Jesse Jackson organized the civil rights group Rainbow/PUSH Coalition.,"Jesse Jackson organized several initiatives and movements related to civil rights and social justice. He is most known for founding the Rainbow PUSH Coalition, an organization seeking social change, international human rights, and political and economic empowerment. Additionally, he organized the Poor People's Campaign in Chicago in the 1970s, directly influenced by the work of Dr. Martin Luther King Jr. He was also a key organizer in the Southern Christian Leadership Conference (SCLC) and Operation Breadbasket, both aimed at civil rights and economic justice for African Americans."
What do bats eat ?,"""insects"", ""fruits"" | ""nectar"" | ""blood""","Bats typically eat insects, fruits, nectar and small mammals or fish depending on their species. ","Bats eat a variety of foods depending on their species, but most are insectivores or fruit eaters. There are some species that feed on small mammals, birds, fish, nectar, or blood.","Bats eat insects, fruits, nectar and small mammals such as frogs and fish. Some bats are also known to feed on blood.","Bats eat a variety of food depending on their species. Some eat insects, some eat fruits, nectar, and pollen, and there are a few species that even eat fish and small mammals. Vampire bats, on the other hand, feed on blood. However, the majority of bats consume insects and are therefore beneficial for pest control."
What do meteorologists do ?,"""atmosphere"", ""weather"" | ""climate"", ""forecast""","Meteorologists study weather conditions and make forecasts. They use sophisticated technology and scientific knowledge to predict atmospheric conditions, temperatures, wind speeds, and precipitation rates.","Meteorologists study the atmosphere, weather processes, and weather phenomena. They conduct research, forecast the weather, and issue weather warnings.","Meteorologists study the atmosphere and weather patterns. They predict weather forecasts, collect data on temperature, humidity, wind speed, and atmospheric pressure, and also investigate different types of weather phenomena like hurricanes and tornadoes.","Meteorologists study and predict weather and climate patterns. They use sophisticated technology and scientific knowledge to forecast weather conditions and patterns that include temperature, wind, rain, snow or storms. They monitor current weather conditions, produce weather reports and forecasts, conduct research and improve forecasting techniques, and warn the public about severe weather conditions like hurricanes and tornadoes. Some meteorologists may also study and analyze climate change and its potential effects."
What do you call a newborn kangaroo ?,"""Joey""",A newborn kangaroo is called a Joey.,A newborn kangaroo is called a joey.,A newborn kangaroo is called a joey.,A newborn kangaroo is called a joey.
What do you call a professional map drawer ?,"""cartographer""",A professional map drawer is called a Cartographer.,A professional map drawer is typically referred to as a cartographer.,A professional map drawer is called a Cartographer.,A professional map drawer is called a Cartographer.
What do you call a word that is spelled the same backwards and forwards ?,"""palindrome""",A word that is spelled the same backwards and forwards is called a Palindrome.,A word that is spelled the same backwards and forwards is called a Palindrome.,A word that is spelled the same backwards and forwards is called a palindrome.,A word that is spelled the same backwards and forwards is called a palindrome.
What does CPR stand for ?,"""Cardiopulmonary"", ""Resuscitation""",CPR stands for Cardiopulmonary Resuscitation.,CPR stands for Cardiopulmonary Resuscitation.,"CPR stands for Cardiopulmonary Resuscitation. It is a lifesaving technique that is used when someone's breathing or heartbeat has stopped, commonly during a heart attack or drowning. ",Cardiopulmonary Resuscitation
What does I.V. stand for ?,"""Intravenous""",I.V. stands for Intravenous.,I.V. stands for Intravenous.,"I.V. stands for Intravenous, which means ""into a vein"". It is most often used when referring to giving medications or fluids (liquids) through a needle or tube inserted into a vein.",Intravenous
What does NASA stand for ?,"""National"", ""Aeronautics"", ""Space"", ""Administration""",NASA stands for National Aeronautics and Space Administration.,NASA stands for National Aeronautics and Space Administration.,NASA stands for National Aeronautics and Space Administration.,National Aeronautics and Space Administration
What does Phi Beta Kappa mean ?,"""Philosophy"", ""guid of life"", ""love""","Phi Beta Kappa is the oldest and one of the most prestigious academic honor societies in the United States. It was founded in 1776 at the College of William and Mary. The Greek initials represent the society's motto ""Philosophia Biou Kubernetes,"" which means ""love of wisdom is the guide of life."":",Phi Beta Kappa means 'Philosophy is the guide of life'.,"Phi Beta Kappa is an academic honor society in the United States. The name means ""love of learning is the guide of life"" in Greek.","Phi Beta Kappa is the oldest honor society for the liberal arts and sciences in the United States. It is often recognized as a symbol of high academic achievement. The name ""Phi Beta Kappa"" comes from the society's motto ""Philosophia Biou Kubernetes"", a Greek phrase which means ""Love of learning is the guide of life."""
What does USPS stand for ?,"""United States"", ""Postal"", ""Service""",USPS stands for United States Postal Service.,USPS stands for United States Postal Service.,USPS stands for United States Postal Service.,United States Postal Service
What does `` Sitting Shiva '' mean ?,"""Jewish"", ""mourning"", ""seven days"" | ""week""","""Sitting Shiva"" is a term used in Judaism that refers to the week-long mourning period observed by close family members following a loved one's death. During this time, they stay at home, refrain from going to work or school, and receive visitors for comfort and condolence. It is a time for introspection, prayer, and showing respect for the deceased.","""Sitting Shiva"" is a term used in the Jewish tradition referring to the act of mourning observed for seven days after the burial of an immediate family member such as a parent, sibling, spouse or child. During this period, the mourners traditionally stay at home and receive visitors.","""Sitting Shiva"" is a term used in the Jewish faith to describe a weeklong period of mourning conducted by immediate family members of the deceased. This includes parents, children, spouses, and siblings.","""Sitting Shiva"" is a term used in the Jewish community to denote the week-long period of grief and mourning for a close family member. It is often conducted in the home of the deceased or their close relatives, where they sit on low stools or boxes to symbolize the weight of their grief. During this time, family and friends visit to provide emotional support, bring food and engage in prayer."
What does a barometer measure ?,"""atmospheric pressure""",A barometer measures atmospheric pressure.,A barometer measures atmospheric pressure.,"A barometer measures atmospheric pressure. It is used in weather forecasting and can help predict changes in the weather, such as rain or clear skies depending on the barometric pressure.",A barometer measures atmospheric pressure.
What does a defibrillator do ?,"""heart"", ""electric"" | ""electric current"", ""rhythm"", ""restore"" | ""reset"" | ""regain""","A defibrillator delivers a dose of electric current (often called a counter-shock) to the heart to restore its normal rhythm, often in the case of life threatening cardiac arrhythmias or ventricular fibrillation.:",A defibrillator is a device that delivers a dose of electric current (often called a countershock) to the heart to reset the heart's rhythm and control its contractions.,A defibrillator delivers a dose of electric current to the heart to restore its normal rhythm.,"A defibrillator is a device that delivers a dose of electric current to the heart. This can help the heart to regain its normal rhythm, especially in serious conditions such as cardiac arrest, where the heart unexpectedly stops beating. It works by depolarizing a critical mass of the heart muscle, terminates the arrhythmia, and allowing normal sinus rhythm to be reestablished by the body's natural pacemaker."
What does cc in engines mean ?,"""cubic centimeters""","CC in engines stands for ""Cubic Centimeters."" It is a metric unit of volume that is used to measure the displacement of the engine, which gives an idea of its power and size.","The term ""cc"" in engines stands for cubic centimeters. It is a measurement of the size of the engine, and specifically refers to the total volume of all the cylinders in the engine.","The term cc in engines refers to Cubic Centimeters, which is a unit of volume used to measure the engine's displacement or the total volume of all the cylinders in an engine. ","CC in engines stands for Cubic Centimeters. It is a unit of measurement used to measure the displacement of the engine, which refers to the total volume of all the cylinders in the engine. This measurement is typically used in reference to the engine's power and efficiency."
What does ciao mean ?,"""hello"" | ""goodbye"", ""Italian""","Ciao is an informal salutation in Italian that means ""hello"" or ""goodbye"".","Ciao is an informal salutation in the Italian language that is used for both ""hello"" and ""goodbye"".","""Ciao"" is an Italian word primarily used for saying ""goodbye"" or ""hello"".","""Ciao"" is an informal Italian word meaning ""hello"" or ""goodbye""."
What does target heart rate mean ?,"""heart beats"", ""exercise"", ""range"" | ""level""","Target heart rate refers to the optimal heart rate range during physical activity that will give the most benefit from the exercise. It is typically estimated using age to determine a maximum heart rate, and then taking a percentage of that (usually between 50-85%) to get the 'Target Heart Rate Zone'. :",Target heart rate refers to the heart rate level one should aim for while exercising to receive maximum health benefits. It is commonly calculated as 50-85% of one's maximum heart rate. ,Target heart rate means the desired range of heart rate reached during aerobic exercise which is considered safe and efficient for the heart. It is typically 60 to 85% of your maximum heart rate. Working within this heart rate can help to improve cardiovascular fitness.,Target heart rate refers to the desired range of heart rate reached during aerobic exercise which enables one's heart and lungs to receive the most benefit from a workout. This range is typically between 50% - 85% of an individual's maximum heart rate.
What does the abbreviation SOS mean ?,"""Save Our Souls"" | ""Save our ship"" | ""Send Out Succour""","The abbreviation SOS is commonly understood to mean ""Save Our Souls,"" ""Save Our Ship,"" or ""Send Out Succour.""","The abbreviation SOS doesn't have a specific meaning, but it is commonly associated with phrases like ""Save Our Souls,"" ""Save Our Ship"" or ""Send Out Succour"". It is used internationally as a distress signal in Morse code.","SOS doesn't stand for anything and is not an abbreviation. It is a distress signal code in Morse Code, chosen for its simplicity and ease of recognition.","SOS is commonly used as a distress signal in Morse code, indicating an emergency or need for help. However, it does not actually have a specific meaning or translation. It was chosen for its simplicity and ease of recognition: three short signals, three long signals, and three short signals."
What does the acronym NASA stand for ?,"""National"", ""Aeronautics"", ""Space"", ""Administration""",NASA stands for National Aeronautics and Space Administration.,The acronym NASA stands for National Aeronautics and Space Administration.,NASA stands for National Aeronautics and Space Administration.,National Aeronautics and Space Administration
What does the technical term ISDN mean ?,"""Integrated Services"", ""Digital Network""",ISDN stands for Integrated Services Digital Network.,"ISDN stands for Integrated Services Digital Network. It's a set of communication standards that enable the digital transmission of voice, video, and other related services over traditional telephone networks. ",ISDN stands for Integrated Services Digital Network.,ISDN stands for Integrated Services Digital Network.
What does the word fortnight mean ?,"""two weeks""","The word ""fortnight"" means a period of two weeks.","The word ""fortnight"" means a period of two weeks.","The word ""fortnight"" means a period of two weeks or 14 days.","The word ""fortnight"" is a unit of time that means two weeks or 14 days. It is commonly used in Britain."
What does your spleen do ?,"""filter"" | ""clean"", ""blood"", ""immune system""","The spleen filters blood, helps the body fight infection, and also destroys old, damaged blood cells. It is part of the lymphatic system and plays a role in your immune system.:","The spleen functions as a filter for blood as part of the immune system. It helps fight bacteria that cause pneumonia and meningitis and can also filter out old red blood cells and platelets, and produces white blood cells.",Your spleen filters your blood and helps your body fight infections. It also plays a crucial role in producing and removing blood cells.,"Your spleen plays multiple supporting roles in your body. It acts as a filter for your blood as part of the immune system. Old red blood cells are recycled in the spleen, and platelets and white blood cells are stored there. The spleen also helps fight certain kinds of bacteria that cause pneumonia and meningitis."
What fruit is Melba sauce made from ?,"""raspberries""",Melba sauce is made from raspberries.,Melba sauce is made from raspberries.,Melba sauce is made from raspberries.,Melba sauce is made from raspberries.
What gasses are in the troposphere ?,"""nitrogen"", ""oxygen"", ""water vapor"", ""carbon dioxide""","The troposphere contains primarily nitrogen (about 78%) and oxygen (about 21%), with small amounts of other gases such as argon (about 0.9%) and carbon dioxide (about 0.04%). It also contains varying amounts of water vapor.:","The gasses in the troposphere are primarily nitrogen (about 78%), oxygen (about 21%), and argon (almost 1%). The remaining 1% is made up of other trace gases like carbon dioxide, neon, helium, and methane.","The gasses present in the troposphere are mostly nitrogen (around 78%) and oxygen (about 21%), with smaller amounts of argon, carbon dioxide, and various other trace gases.","The troposphere is primarily made up of nitrogen (78%) and oxygen (21%). The remaining 1% is composed of argon, carbon dioxide, neon, helium, methane, krypton, hydrogen, nitrous oxide, xenon, ozone, nitrogen dioxide, iodine, carbon monoxide, and traces of other gases. It also contains water vapor, varying between 0-4%."
What hemisphere is the Philippines in ?,"""Northern"", ""Eastern""",The Philippines is in the Northern and Eastern hemispheres.,The Philippines is located in the Northern and Eastern Hemispheres.,The Philippines is in the Northern and Eastern Hemispheres.,The Philippines is located in the Northern and Eastern Hemispheres.
What imaginary line is halfway between the North and South Poles ?,"""Equator""",The imaginary line halfway between the North and South Poles is the Equator.,The imaginary line halfway between the North and South Poles is the Equator.,The imaginary line halfway between the North and South Poles is the Equator.,The Equator
What instrument did Glenn Miller play ?,"""trombone""",Glenn Miller played the trombone.,Glenn Miller played the trombone.,Glenn Miller played the trombone.,Glenn Miller played the trombone.
What is Australia 's national flower ?,"""Golden Wattle""",Australia's national flower is the Golden Wattle.,Australia's national flower is the Golden Wattle.,Australia's national flower is the Golden Wattle.,Australia's national flower is the Golden Wattle.
What is Hawaii 's state flower ?,"""Hibiscus""",Hawaii's state flower is the Yellow Hibiscus.,Hawaii's state flower is the yellow hibiscus.,Hawaii's state flower is the Hibiscus.,Hawaii's state flower is the Yellow Hibiscus.
What is Mardi Gras ?,"""carnival"", ""celebration""","Mardi Gras is a Christian holiday and popular cultural phenomenon that dates back thousands of years to pagan spring and fertility rites. Also known as Fat Tuesday, Mardi Gras is the day before Ash Wednesday and is a time of celebration and indulgence ahead of the Christian season of Lent. Today it is particularly associated with New Orleans, where it is celebrated with parades and masquerade balls.","Mardi Gras is a carnival celebration marked by parades, balls, and costume parties, celebrated primarily in New Orleans, Louisiana, USA, in the weeks leading up to Lent, a period of reflection and fasting in the Christian calendar. The term ""Mardi Gras"" translates to ""Fat Tuesday"" in French.","Mardi Gras is a carnival celebration marked by feasting and merrymaking, which is usually held in the period just before the Christian fasting period of Lent.","Mardi Gras, also called Fat Tuesday, is a carnival celebration that begins on or after Epiphany (Three Kings Day) and culminates on the day before Ash Wednesday, marking the beginning of the Christian season of Lent. It is particularly popular in regions with large Roman Catholic populations like New Orleans, Louisiana in the U.S. The festival is known for its parades, masquerade balls, and indulgence in rich, fatty foods before the fasting of Lent begins. It usually associated with vibrant colors, music, dancing, and the throwing of beads and other trinkets."
What is Maryland 's state bird ?,"""Baltimore Oriole""",Maryland's state bird is the Baltimore Oriole.,Maryland's state bird is the Baltimore Oriole.,Maryland's state bird is the Baltimore Oriole.,The state bird of Maryland is the Baltimore Oriole.
What is Muscular Dystrophy ?,"""diseases"", ""muscle"", ""genetic"" | ""gene"", ""loss"" | ""weakness""","Muscular Dystrophy is a group of genetic diseases characterized by progressive weakness and loss of muscle mass. In these diseases, abnormal genes interfere with the production of proteins that are needed to form healthy muscle. There are many different types of muscular dystrophy, each with particular symptoms and rates of progression.:",Muscular Dystrophy is a group of diseases that cause progressive weakness and loss of muscle mass.,"Muscular Dystrophy is a group of diseases that cause progressive weakness and loss of muscle mass. In these diseases, abnormal genes (mutations) interfere with the production of proteins needed to form healthy muscle.","Muscular Dystrophy (MD) is a group of genetic diseases characterized by progressive weakness and loss of muscle mass. In these diseases, abnormal genes (mutations) interfere with the production of proteins that are needed to form healthy muscle. There are many different types of muscular dystrophy, each affecting specific muscle groups and varying in severity. Symptoms typically begin in childhood and may significantly impact life expectancy and quality of life."
What is New York 's state bird ?,"""Eastern Bluebird""",The state bird of New York is the Eastern Bluebird.,New York's state bird is the Eastern Bluebird.,New York's state bird is the Eastern Bluebird.,The Eastern Bluebird is the state bird of New York.
What is Shakespeare 's nickname ?,"""Bard""","Shakespeare's nickname is ""The Bard.""","Shakespeare's nickname is ""The Bard.""","Shakespeare's nickname is ""The Bard of Avon"".",The Bard of Avon
What is Susan B. Anthony 's birthday ?,"""February 15"", ""1820""","Susan B. Anthony's birthday is on February 15, 1820.","Susan B. Anthony's birthday is February 15, 1820.","Susan B. Anthony's birthday is February 15, 1820.","Susan B. Anthony was born on February 15, 1820."
What is TMJ ?,"""Temporomandibular"", ""Joint""",TMJ stands for Temporomandibular Joint.,"TMJ stands for Temporomandibular Joint, which is the joint that connects the jaw to the skull. Disorders affecting this joint are often referred to as TMJ disorders.","TMJ, or Temporomandibular Joint Dysfunction, is a disorder of the jaw joints causing pain and discomfort, often resulting from the jaw being out of alignment or from muscular tension.","TMJ stands for Temporomandibular Joint. It's a joint that connects your jaw to the temporal bones of your skull, which are in front of each ear. It enables you to move your jaw up and down and side to side, so you can talk, chew, and yawn. TMJ disorders can cause pain in your jaw joint and in the muscles that control jaw movement."
What is Teflon ?,"""non-stick"", ""polymer"", ""polytetrafluoroethylene"" | ""PTFE""","Teflon is a brand name for a type of polymer called polytetrafluoroethylene (PTFE), which is a plastic-like material that?�?s known for its non-stick properties. It's commonly used to coat non-stick pans and is also used in a variety of other applications, including electrical insulation and gaskets.:","Teflon is a brand name for a type of polymer compound known as polytetrafluoroethylene (PTFE), commonly used as a non-stick coating for cooking utensils.",Teflon is a brand name for a type of polymer compound known as Polytetrafluoroethylene (PTFE). It is resistant to heat and used in non-stick cooking utensils.,"Teflon is a brand name for a type of polymer compound known as polytetrafluoroethylene (PTFE). It is a high-performance plastic material known for its non-stick properties, high heat resistance, and chemical resistance. It was invented by DuPont in 1938 and is commonly used in cookware, electrical insulation, and industrial applications."
What is Ursa Major ?,"""constellation"", ""Big Dipper"", ""Great Bear""",Ursa Major is a constellation in the northern celestial hemisphere. It is also known as the Great Bear.,"Ursa Major is a constellation, also known as the Great Bear, that contains the Big Dipper asterism.","Ursa Major, also known as the Great Bear, is a constellation in the northern celestial hemisphere. It is known for its recognizable pattern, the Big Dipper.","Ursa Major, also known as the Great Bear, is a constellation in the northern celestial hemisphere. It includes the well-known asterism, the Big Dipper, and is one of the oldest recognized constellations, with a history dating back to ancient times."
What is Valentine 's Day ?,"""February 14"", ""love"" | ""romantic""","Valentine's Day is a holiday that takes place on February 14th each year. It is a time when people show feelings of love, affection, and friendship. Its symbols are often hearts, red roses, and Cupid.:","Valentine's Day is a celebration observed on February 14 each year. It is celebrated as a day of romantic love and affection, where people gift their loved ones with presents like flowers, chocolates, and cards.","Valentine's Day is a holiday celebrated on February 14, traditionally associated with romantic love and affection. It is often marked by the exchange of cards, chocolates, gifts or flowers.","Valentine's Day, also known as Saint Valentine's Day, is a celebration that takes place on February 14 each year. It is a festival of romantic love and many people give cards, letters, flowers or presents to their spouse or partner. They may also arrange a romantic meal in a restaurant or night in a hotel. Typical Valentine's Day symbols include hearts, doves, and the winged figure of Cupid."
What is Wimbledon ?,"""tennis"", ""tournament"", ""London"" | ""England""","Wimbledon is a world-renowned professional tennis tournament held annually in Wimbledon, London. It is the oldest tennis tournament in the world, and is considered one of the most prestigious. It consists of five main events: gentlemen's singles, ladies' singles, gentlemen's doubles, ladies' doubles and mixed doubles.:","Wimbledon is a prestigious international tennis tournament held annually in Wimbledon, London.","Wimbledon is a tennis tournament held in Wimbledon, London, England. It is also a suburb in London.","Wimbledon is a major tennis tournament held annually in Wimbledon, London, UK. It is one of the four Grand Slam tennis tournaments, alongside the Australian Open, French Open, and the US Open. Wimbledon is the oldest tennis tournament in the world, and is widely regarded as the most prestigious. It has been held at the All England Club in Wimbledon since 1877. It is traditionally played on grass courts."
What is a baby lion called ?,"""cub""",A baby lion is called a Cub.,A baby lion is called a cub.,A baby lion is called a cub.,A baby lion is called a cub.
What is a baby turkey called ?,"""poult""",A baby turkey is called a poult.,A baby turkey is called a poult.,A baby turkey is called a poult or chick.,A baby turkey is called a poult.
What is a biosphere ?,"""global"", ""ecological"" | ""ecosystem"", ""living"", ""organisms"" | ""beings""",A biosphere is a global ecosystem composed of living organisms (biota) and the abiotic (nonliving) factors from which they derive energy and nutrients.:,"A biosphere is the global ecological system integrating all living beings and their relationships, including their interaction with the elements of the lithosphere, geosphere, hydrosphere, and atmosphere.",A biosphere is the global ecosystem made up of all the regions of the earth and atmosphere occupied by living organisms.,"A biosphere is the global ecological system integrating all living beings and their relationships, including their interaction with the elements of the lithosphere (earth), hydrosphere (water), and atmosphere (air). In other words, it is the worldwide sum of all ecosystems."
What is a carcinogen ?,"""substance"", ""cancer"", ""causing"" | ""cause"" | ""formation""","A carcinogen is any substance, radionuclide, or radiation that promotes carcinogenesis, which is the formation of cancer. This can be due to the possible mutation of genetic material of cells by disrupting the cellular metabolic processes. Carcinogens range from certain types of chemicals, tobacco, alcohol, radiation to specific viruses.",A carcinogen is a substance capable of causing cancer in living tissue.,"A carcinogen is any substance or agent that promotes the formation of cancer in the body. Carcinogens could be chemicals, certain types of radiation, specific viruses, or certain lifestyle factors like tobacco and alcohol. They tend to cause cancer by damaging the genome or disrupting the cellular metabolic processes.","A carcinogen is any substance or exposure that can lead to the development of cancer. It may be certain chemicals, types of radiation, or viruses. Tobacco, asbestos, and ultraviolet radiation from the sun are common examples of carcinogens."
What is a fuel cell ?,"""convert"", ""chemical"", ""energy"", ""electricity""",A fuel cell is a device that converts chemical potential energy (energy stored in molecular bonds) into electrical energy. A fuel cell essentially produces electricity through a chemical reaction where it combines hydrogen and oxygen to form water.:,A fuel cell is a device that converts the chemical energy from a fuel into electricity through a chemical reaction of positively charged hydrogen ions with oxygen or another oxidizing agent.,A fuel cell is a device that converts the chemical energy from a fuel into electricity through a chemical reaction with oxygen or another oxidizing agent.,"A fuel cell is a device that converts the chemical energy from a fuel into electricity through a chemical reaction of positively charged hydrogen ions with oxygen or another oxidizing agent. Unlike batteries, they require a continuous source of fuel and oxygen or air to sustain the chemical reaction. Fuel cells can produce electricity continuously for as long as these inputs are supplied. They are used in various settings, ranging from large power plants to electric vehicles."
What is a group of frogs called ?,"""army""",A group of frogs is called an Army.,A group of frogs is called an army.,A group of frogs is called an army.,A group of frogs is called an army.
